matter_id,law_firm,timekeeper_role,hours_billed,hourly_rate,invoice_amount,savings,approved_invoice_amount,budget_allocated,budget_variance,billing_violation_type,invoice_date
M-2264,Allen & Overy,Partner,40.22,1080.0,43437.12,6515.57,36921.56,41814.04,1623.08,Excess Research,2025-07-22
M-2697,Linklaters,Partner,16.77,1080.0,18106.97,0.0,18106.97,16573.45,1533.52,None,2025-12-01
M-3033,Allen & Overy,Associate,52.3,540.0,28239.79,4235.97,24003.82,24494.54,3745.25,Excess Research,2025-06-03
M-3938,Hogan Lovells,Associate,56.33,495.0,27883.62,0.0,27883.62,25300.15,2583.47,None,2025-10-26
M-1313,Allen & Overy,Partner,58.24,1080.0,62902.22,12580.44,50321.77,70292.07,-7389.85,Travel Billing,2025-05-08
M-1539,Baker & McKenzie,Partner,46.13,900.0,41515.44,8303.09,33212.35,36178.06,5337.38,Travel Billing,2024-05-22
M-1082,Freshfields,Associate,64.42,562.5,36237.69,7247.54,28990.15,31204.33,5033.36,Travel Billing,2025-12-29
M-1155,Allen & Overy,Associate,41.0,540.0,22141.78,4428.36,17713.42,21980.3,161.47,Travel Billing,2025-06-27
M-1659,Skadden,Associate,14.12,630.0,8894.41,0.0,8894.41,7901.1,993.31,None,2024-11-16
M-1807,Clifford Chance,Associate,57.87,585.0,33856.82,5078.52,28778.29,28984.65,4872.17,Excess Research,2024-04-11
M-3564,Skadden,Partner,37.94,1260.0,47809.16,9561.83,38247.33,45430.09,2379.07,Travel Billing,2024-10-13
M-3078,Baker & McKenzie,Partner,79.0,900.0,71103.69,10665.55,60438.14,76966.87,-5863.18,Excess Research,2024-05-05
M-2529,Linklaters,Associate,24.14,540.0,13037.06,1955.56,11081.5,10568.32,2468.74,Excess Research,2026-03-04
M-3836,Hogan Lovells,Associate,53.26,495.0,26365.28,5273.06,21092.22,22524.58,3840.7,Travel Billing,2025-12-30
M-2956,Freshfields,Associate,23.18,562.5,13039.59,0.0,13039.59,10566.32,2473.27,None,2024-12-31
M-1691,Clifford Chance,Associate,42.88,585.0,25083.66,0.0,25083.66,20708.33,4375.33,None,2026-01-19
M-2581,Baker & McKenzie,Associate,23.18,450.0,10431.88,0.0,10431.88,9824.29,607.59,None,2024-11-18
M-1023,Freshfields,Associate,64.77,562.5,36433.45,5465.02,30968.43,35315.32,1118.12,Excess Research,2025-02-11
M-1915,Linklaters,Partner,41.36,1080.0,44670.1,0.0,44670.1,42448.69,2221.41,None,2025-06-30
M-2530,Skadden,Partner,35.24,1260.0,44405.79,8881.16,35524.64,50795.17,-6389.38,Travel Billing,2024-10-16
M-1468,DLA Piper,Associate,45.27,472.5,21391.29,4278.26,17113.03,22056.29,-665.01,Travel Billing,2025-01-29
M-2909,Freshfields,Partner,57.27,1125.0,64425.94,0.0,64425.94,76627.09,-12201.15,None,2025-08-25
M-2490,Linklaters,Partner,11.67,1080.0,12604.87,2520.97,10083.9,12872.15,-267.28,Travel Billing,2025-04-14
M-2595,Skadden,Associate,60.37,630.0,38035.14,0.0,38035.14,32685.44,5349.7,None,2025-05-29
M-3962,DLA Piper,Partner,27.84,945.0,26307.71,5261.54,21046.17,23199.81,3107.9,Travel Billing,2024-08-22
M-1983,Hogan Lovells,Partner,32.3,990.0,31972.9,6394.58,25578.32,37164.95,-5192.05,Travel Billing,2024-08-18
M-2610,Allen & Overy,Associate,22.6,540.0,12205.61,2441.12,9764.48,14327.86,-2122.25,Travel Billing,2026-01-06
M-3919,Hogan Lovells,Partner,41.94,990.0,41518.33,6227.75,35290.58,46485.84,-4967.51,Excess Research,2025-12-10
M-1428,DLA Piper,Partner,5.0,945.0,4725.0,945.0,3780.0,5446.83,-721.83,Travel Billing,2025-11-19
M-1576,White & Case,Associate,50.6,517.5,26184.89,0.0,26184.89,29705.31,-3520.42,None,2024-05-18
M-1138,Skadden,Associate,10.63,630.0,6696.88,1004.53,5692.35,7676.23,-979.34,Excess Research,2025-11-26
M-1910,Linklaters,Partner,48.26,1080.0,52123.16,10424.63,41698.53,56737.32,-4614.16,Travel Billing,2025-06-18
M-1939,Latham & Watkins,Partner,31.46,1215.0,38223.32,5733.5,32489.82,43986.75,-5763.43,Excess Research,2025-03-11
M-2064,Hogan Lovells,Partner,53.75,990.0,53216.31,0.0,53216.31,61456.84,-8240.53,None,2026-01-02
M-2042,Hogan Lovells,Partner,56.5,990.0,55931.65,0.0,55931.65,45482.51,10449.14,None,2025-02-23
M-1344,DLA Piper,Partner,28.61,945.0,27036.5,5407.3,21629.2,22507.26,4529.24,Travel Billing,2025-11-14
M-1387,Freshfields,Associate,66.94,562.5,37653.92,5648.09,32005.83,30398.6,7255.32,Excess Research,2025-09-20
M-3459,Freshfields,Associate,32.46,562.5,18257.37,2738.61,15518.77,20201.25,-1943.88,Excess Research,2025-01-31
M-1923,Skadden,Partner,35.87,1260.0,45194.25,9038.85,36155.4,37408.31,7785.94,Travel Billing,2024-04-11
M-2612,Allen & Overy,Associate,59.27,540.0,32005.79,4800.87,27204.92,35933.41,-3927.62,Excess Research,2026-03-02
M-1316,Skadden,Partner,38.3,1260.0,48262.62,7239.39,41023.23,47931.66,330.96,Excess Research,2025-11-02
M-3803,Allen & Overy,Associate,51.1,540.0,27592.14,0.0,27592.14,28307.06,-714.92,None,2024-05-01
M-2333,Allen & Overy,Partner,30.53,1080.0,32976.7,4946.5,28030.19,34362.22,-1385.52,Excess Research,2024-08-21
M-2025,Freshfields,Associate,68.63,562.5,38605.32,5790.8,32814.52,44361.28,-5755.96,Excess Research,2024-05-11
M-2873,DLA Piper,Associate,53.67,472.5,25359.6,5071.92,20287.68,26085.27,-725.67,Travel Billing,2024-03-16
M-3064,Baker & McKenzie,Partner,31.53,900.0,28374.66,4256.2,24118.46,26290.92,2083.74,Excess Research,2024-09-28
M-2114,Skadden,Partner,69.6,1260.0,87690.79,17538.16,70152.63,74084.38,13606.41,Travel Billing,2024-09-14
M-2867,DLA Piper,Associate,48.88,472.5,23096.74,0.0,23096.74,19650.76,3445.98,None,2025-05-09
M-3573,Clifford Chance,Associate,52.62,585.0,30780.0,4617.0,26163.0,25271.45,5508.55,Excess Research,2025-12-09
M-1318,Allen & Overy,Associate,83.56,540.0,45124.05,9024.81,36099.24,45461.03,-336.97,Travel Billing,2025-05-26
M-1103,DLA Piper,Partner,49.94,945.0,47191.72,0.0,47191.72,47790.92,-599.19,None,2024-12-18
M-3360,Baker & McKenzie,Associate,49.72,450.0,22372.33,0.0,22372.33,18646.71,3725.63,None,2024-06-20
M-1061,Allen & Overy,Associate,64.04,540.0,34581.59,6916.32,27665.27,41132.4,-6550.81,Travel Billing,2025-01-08
M-3406,DLA Piper,Partner,51.31,945.0,48487.15,0.0,48487.15,56646.72,-8159.57,None,2025-03-09
M-3196,DLA Piper,Partner,27.37,945.0,25865.38,0.0,25865.38,20744.07,5121.3,None,2025-09-30
M-3170,Skadden,Partner,42.6,1260.0,53680.06,8052.01,45628.05,63221.93,-9541.86,Excess Research,2025-04-29
M-3763,Freshfields,Partner,17.33,1125.0,19499.97,2925.0,16574.97,16601.4,2898.57,Excess Research,2025-09-25
M-2530,Hogan Lovells,Associate,29.35,495.0,14526.91,2179.04,12347.87,15833.06,-1306.14,Excess Research,2024-11-18
M-1571,Skadden,Associate,24.88,630.0,15672.5,2350.88,13321.63,16498.59,-826.09,Excess Research,2025-10-31
M-1355,DLA Piper,Partner,43.06,945.0,40696.02,8139.2,32556.81,48775.52,-8079.51,Travel Billing,2025-09-27
M-1749,Allen & Overy,Partner,33.61,1080.0,36296.11,5444.42,30851.69,33135.79,3160.32,Excess Research,2024-08-24
M-3197,Allen & Overy,Partner,36.26,1080.0,39159.81,7831.96,31327.85,46907.61,-7747.8,Travel Billing,2024-07-07
M-3529,White & Case,Associate,37.6,517.5,19459.42,3891.88,15567.54,22058.57,-2599.15,Travel Billing,2024-05-08
M-3466,Clifford Chance,Associate,36.49,585.0,21344.96,3201.74,18143.21,24437.49,-3092.53,Excess Research,2024-12-18
