request_id,matter_id,request_type,priority,automation_used,review_time_days,sla_target_days,sla_met
R-2000,M-3633,Employment Issue,High,No,2,5,True
R-2001,M-2025,Employment Issue,Low,Yes,2,3,True
R-2002,M-2277,Regulatory Review,Low,Yes,6,7,True
R-2003,M-2675,Vendor Contract,Low,Yes,3,5,True
R-2004,M-3442,NDA,High,Yes,3,5,True
R-2005,M-2847,NDA,Low,No,10,3,False
R-2006,M-3699,Regulatory Review,Medium,No,10,5,False
R-2007,M-1274,Vendor Contract,High,Yes,3,3,True
R-2008,M-1489,Vendor Contract,Low,No,10,5,False
R-2009,M-3150,Vendor Contract,High,Yes,7,5,False
R-2010,M-1761,Regulatory Review,High,No,2,7,True
R-2011,M-3948,Employment Issue,Low,Yes,5,3,False
R-2012,M-1421,NDA,High,No,10,3,False
R-2013,M-3119,Vendor Contract,Low,Yes,2,5,True
R-2014,M-3743,NDA,Medium,No,10,7,False
R-2015,M-3623,Regulatory Review,Low,Yes,1,5,True
R-2016,M-2103,Vendor Contract,Low,No,2,5,True
R-2017,M-1704,Vendor Contract,High,Yes,2,3,True
R-2018,M-1101,NDA,Medium,Yes,1,5,True
R-2019,M-2890,NDA,Medium,No,5,5,True
R-2020,M-2194,Vendor Contract,Medium,No,2,7,True
R-2021,M-1651,Regulatory Review,High,Yes,3,5,True
R-2022,M-1301,Vendor Contract,Low,Yes,3,3,True
R-2023,M-1250,Employment Issue,Medium,Yes,3,7,True
R-2024,M-2070,Vendor Contract,Medium,Yes,2,3,True
R-2025,M-3811,NDA,Low,Yes,1,5,True
R-2026,M-2796,Employment Issue,Low,No,5,7,True
R-2027,M-2472,Regulatory Review,Medium,No,10,5,False
R-2028,M-1073,NDA,High,No,5,7,True
R-2029,M-2188,NDA,High,No,2,7,True
R-2030,M-2488,Vendor Contract,Medium,No,10,5,False
R-2031,M-1810,Regulatory Review,Low,Yes,1,5,True
R-2032,M-3872,NDA,Low,No,10,7,False
R-2033,M-3773,Regulatory Review,Medium,No,10,5,False
R-2034,M-2482,Vendor Contract,High,Yes,5,7,True
R-2035,M-1090,NDA,Medium,Yes,5,3,False
R-2036,M-1763,Vendor Contract,Medium,No,5,5,True
R-2037,M-2969,Vendor Contract,Low,No,10,7,False
R-2038,M-1448,Employment Issue,Medium,Yes,3,5,True
R-2039,M-2831,Vendor Contract,High,Yes,6,3,False
R-2040,M-2834,NDA,Low,No,5,7,True
R-2041,M-2219,NDA,Low,Yes,1,7,True
R-2042,M-3396,Employment Issue,Low,Yes,3,7,True
R-2043,M-3195,Vendor Contract,Low,Yes,1,7,True
R-2044,M-2375,Regulatory Review,Medium,Yes,7,7,True
R-2045,M-3488,Employment Issue,High,Yes,5,5,True
R-2046,M-1650,Vendor Contract,High,No,2,7,True
R-2047,M-1136,Vendor Contract,Medium,No,5,3,False
R-2048,M-1264,Vendor Contract,Low,No,5,3,False
R-2049,M-2815,Vendor Contract,Low,Yes,1,7,True
R-2050,M-3749,Vendor Contract,Low,No,2,7,True
R-2051,M-2524,Regulatory Review,Low,No,10,5,False
R-2052,M-2782,Regulatory Review,Medium,Yes,6,5,False
R-2053,M-2342,Regulatory Review,Medium,Yes,6,7,True
R-2054,M-1679,Employment Issue,High,Yes,1,3,True
R-2055,M-2858,Employment Issue,Low,Yes,6,5,False
R-2056,M-3434,NDA,Medium,No,2,3,True
R-2057,M-1401,Vendor Contract,High,Yes,1,5,True
R-2058,M-1572,Employment Issue,Medium,No,5,7,True
R-2059,M-2741,Employment Issue,High,Yes,3,3,True
R-2060,M-2948,Employment Issue,High,Yes,3,5,True
R-2061,M-3545,Vendor Contract,Medium,Yes,1,7,True
R-2062,M-1801,Vendor Contract,Medium,Yes,5,5,True
R-2063,M-2770,Employment Issue,Low,No,5,3,False
R-2064,M-3589,Employment Issue,High,Yes,1,7,True
R-2065,M-3219,Vendor Contract,Medium,Yes,3,5,True
R-2066,M-2737,Vendor Contract,Low,Yes,1,5,True
R-2067,M-3715,Employment Issue,Low,Yes,3,7,True
R-2068,M-1051,Regulatory Review,High,No,10,7,False
R-2069,M-3562,Regulatory Review,Medium,Yes,1,7,True
R-2070,M-2126,Employment Issue,Low,No,2,7,True
R-2071,M-3019,NDA,Medium,Yes,1,3,True
R-2072,M-3796,NDA,Medium,No,5,7,True
R-2073,M-1946,Employment Issue,High,Yes,6,5,False
R-2074,M-3054,Regulatory Review,Medium,Yes,3,5,True
R-2075,M-3201,Regulatory Review,Low,No,10,7,False
R-2076,M-1483,Employment Issue,Medium,No,2,5,True
R-2077,M-1309,Employment Issue,Low,No,10,3,False
R-2078,M-3504,Regulatory Review,Low,Yes,5,3,False
R-2079,M-2771,Regulatory Review,Low,Yes,6,7,True
R-2080,M-1239,Vendor Contract,Low,No,2,7,True
R-2081,M-3119,NDA,High,Yes,3,3,True
R-2082,M-3607,Regulatory Review,Low,Yes,5,7,True
